epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,209.199,1.44031,1.99263,1.35573,0.3477,0.53731,0.31341,0.16685,1.52331,2.94513,1.49144,0.000659794,0.000659794,0.000659794
2,426.496,1.45932,1.34076,1.3417,0.92922,0.91446,0.95088,0.52311,1.61666,1.2177,1.57688,0.0013002,0.0013002,0.0013002
3,644.369,1.47834,1.12421,1.36864,0.86349,0.86318,0.88938,0.47009,1.55489,1.38915,1.47433,0.0019142,0.0019142,0.0019142
4,854.616,1.49734,1.01342,1.38873,0.93458,0.84826,0.92786,0.54627,1.4508,1.13831,1.38354,0.0018812,0.0018812,0.0018812
5,1063.94,1.46225,0.964,1.37188,0.90413,0.90796,0.9359,0.48621,1.58081,0.91017,1.45829,0.0018416,0.0018416,0.0018416
6,1262.06,1.43905,0.87926,1.36152,0.95612,0.95274,0.97592,0.56428,1.52955,0.77807,1.48465,0.001802,0.001802,0.001802
7,1468.63,1.42958,0.8385,1.34247,0.94426,0.92707,0.95709,0.56497,1.50397,0.77064,1.41974,0.0017624,0.0017624,0.0017624
8,1680.28,1.42245,0.81899,1.33579,0.94584,0.9602,0.97698,0.56379,1.48755,0.77978,1.40751,0.0017228,0.0017228,0.0017228
9,1895.34,1.38487,0.77933,1.31343,0.95979,0.94995,0.97642,0.56544,1.51001,0.70815,1.40321,0.0016832,0.0016832,0.0016832
10,2101.93,1.41091,0.77155,1.3371,0.93602,0.93035,0.97122,0.57024,1.54425,0.71555,1.44654,0.0016436,0.0016436,0.0016436
11,2306.22,1.38308,0.72922,1.30776,0.95744,0.95139,0.97734,0.58767,1.51026,0.66026,1.46002,0.001604,0.001604,0.001604
12,2498.85,1.40242,0.73715,1.31837,0.95696,0.95771,0.97716,0.5868,1.50551,0.66356,1.42002,0.0015644,0.0015644,0.0015644
13,2688.89,1.36658,0.70943,1.29911,0.97639,0.95522,0.9859,0.5874,1.51276,0.61324,1.40167,0.0015248,0.0015248,0.0015248
14,2878.87,1.34963,0.6972,1.2905,0.94542,0.95025,0.97396,0.58768,1.47458,0.6423,1.39031,0.0014852,0.0014852,0.0014852
15,3069.93,1.3428,0.69421,1.28593,0.95954,0.9602,0.97729,0.57636,1.4951,0.62879,1.40123,0.0014456,0.0014456,0.0014456
16,3260.07,1.36628,0.67065,1.28513,0.96739,0.95926,0.97828,0.58835,1.50737,0.6052,1.40128,0.001406,0.001406,0.001406
17,3447.59,1.33832,0.66328,1.27429,0.97991,0.97045,0.98279,0.60844,1.50179,0.56112,1.4467,0.0013664,0.0013664,0.0013664
18,3655.63,1.33159,0.65598,1.27513,0.96281,0.96613,0.98575,0.59672,1.42825,0.64334,1.3355,0.0013268,0.0013268,0.0013268
19,3858.95,1.34165,0.64275,1.26713,0.96766,0.96749,0.98421,0.60204,1.42584,0.60387,1.33234,0.0012872,0.0012872,0.0012872
20,4052.65,1.30829,0.64015,1.26787,0.95417,0.96517,0.98323,0.60349,1.49768,0.5899,1.42508,0.0012476,0.0012476,0.0012476
21,4258.59,1.33533,0.64585,1.28996,0.95164,0.93781,0.95468,0.54921,1.4774,0.66741,1.39831,0.001208,0.001208,0.001208
22,4470.23,1.30419,0.62154,1.26213,0.96173,0.96269,0.9755,0.60538,1.47702,0.56944,1.40348,0.0011684,0.0011684,0.0011684
23,4690.96,1.31351,0.61616,1.26235,0.95329,0.97512,0.98646,0.62126,1.45611,0.59358,1.37477,0.0011288,0.0011288,0.0011288
24,4911.4,1.29269,0.60723,1.26857,0.95222,0.96269,0.97688,0.59933,1.41497,0.5857,1.34832,0.0010892,0.0010892,0.0010892
25,5127.14,1.2628,0.57942,1.25387,0.96918,0.9602,0.97894,0.60915,1.46058,0.58377,1.40193,0.0010496,0.0010496,0.0010496
26,5345.28,1.28575,0.59347,1.25083,0.96079,0.96269,0.98217,0.6012,1.45814,0.60648,1.38225,0.00101,0.00101,0.00101
27,5563.84,1.26543,0.57666,1.2461,0.97319,0.95274,0.976,0.61306,1.4083,0.55267,1.31161,0.0009704,0.0009704,0.0009704
28,5779.53,1.24246,0.57914,1.239,0.96421,0.97264,0.98067,0.58763,1.45163,0.6067,1.40097,0.0009308,0.0009308,0.0009308
29,5992.15,1.23025,0.57314,1.22397,0.96663,0.95771,0.97836,0.61801,1.38358,0.57224,1.32375,0.0008912,0.0008912,0.0008912
30,6206.34,1.24988,0.56922,1.23188,0.97523,0.97264,0.9886,0.60881,1.36444,0.52397,1.29397,0.0008516,0.0008516,0.0008516
31,6419.91,1.2679,0.56642,1.24114,0.95889,0.96269,0.97586,0.61239,1.37917,0.54533,1.32154,0.000812,0.000812,0.000812
32,6622.73,1.23928,0.56338,1.2411,0.95919,0.97264,0.98512,0.60893,1.36175,0.53787,1.32095,0.0007724,0.0007724,0.0007724
33,6808.82,1.25006,0.54567,1.24121,0.95834,0.97268,0.98285,0.62385,1.40136,0.54194,1.31381,0.0007328,0.0007328,0.0007328
