epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.5302,1.30578,1.31481,1.34767,0.60306,0.26028,0.2531,0.16026,1.32212,0.8998,1.45909,3.10995e-05,3.10995e-05,3.10995e-05
2,189.706,1.29492,1.03629,1.34732,0.64926,0.37136,0.41951,0.27647,1.30433,0.71359,1.44211,6.11967e-05,6.11967e-05,6.11967e-05
3,282.243,1.27791,0.87564,1.3326,0.53792,0.58321,0.60098,0.4015,1.31464,0.63469,1.45052,9.0053e-05,9.0053e-05,9.0053e-05
4,374.598,1.26547,0.80471,1.32936,0.65846,0.68316,0.73691,0.50652,1.29293,0.56693,1.44227,8.84164e-05,8.84164e-05,8.84164e-05
5,466.941,1.24472,0.71369,1.31101,0.80359,0.71915,0.852,0.58569,1.27804,0.51865,1.42521,8.65552e-05,8.65552e-05,8.65552e-05
6,559.17,1.22876,0.67568,1.31295,0.82978,0.83583,0.90251,0.62377,1.28745,0.49946,1.43748,8.4694e-05,8.4694e-05,8.4694e-05
7,651.312,1.22344,0.64291,1.30698,0.88996,0.8084,0.91377,0.63779,1.27895,0.47664,1.43862,8.28328e-05,8.28328e-05,8.28328e-05
8,743.579,1.21294,0.6189,1.30189,0.84839,0.88737,0.94164,0.65595,1.29296,0.47267,1.43908,8.09716e-05,8.09716e-05,8.09716e-05
9,835.843,1.20351,0.5998,1.2945,0.8948,0.86726,0.95661,0.6673,1.28369,0.46684,1.44238,7.91104e-05,7.91104e-05,7.91104e-05
10,928.182,1.19973,0.59535,1.29879,0.91398,0.91655,0.95855,0.67608,1.26854,0.45042,1.42707,7.72492e-05,7.72492e-05,7.72492e-05
11,1020.49,1.18587,0.57177,1.29335,0.91467,0.91112,0.97131,0.67808,1.28296,0.44023,1.44143,7.5388e-05,7.5388e-05,7.5388e-05
12,1112.91,1.1783,0.56496,1.27876,0.89016,0.90461,0.96643,0.68273,1.27932,0.44574,1.42847,7.35268e-05,7.35268e-05,7.35268e-05
13,1205.19,1.15948,0.54146,1.27248,0.92502,0.9098,0.96944,0.68594,1.26526,0.42917,1.42951,7.16656e-05,7.16656e-05,7.16656e-05
14,1297.48,1.1453,0.53619,1.27106,0.93898,0.88758,0.95862,0.67111,1.27362,0.43165,1.42628,6.98044e-05,6.98044e-05,6.98044e-05
15,1389.39,1.14924,0.52783,1.27744,0.93487,0.91306,0.96722,0.68847,1.26711,0.42088,1.421,6.79432e-05,6.79432e-05,6.79432e-05
16,1481.68,1.13346,0.52023,1.25961,0.92945,0.92216,0.96475,0.68999,1.26121,0.42029,1.43665,6.6082e-05,6.6082e-05,6.6082e-05
17,1573.93,1.12639,0.51679,1.25649,0.906,0.94104,0.96798,0.68249,1.26876,0.4189,1.4369,6.42208e-05,6.42208e-05,6.42208e-05
18,1665.87,1.11783,0.50778,1.25568,0.93889,0.92386,0.9742,0.69465,1.26621,0.41788,1.44575,6.23596e-05,6.23596e-05,6.23596e-05
19,1758.07,1.107,0.49944,1.24852,0.92152,0.93218,0.96833,0.69294,1.25859,0.41416,1.42771,6.04984e-05,6.04984e-05,6.04984e-05
20,1850.07,1.10255,0.48843,1.23618,0.94001,0.9315,0.98124,0.69551,1.26836,0.41249,1.44243,5.86372e-05,5.86372e-05,5.86372e-05
21,1942.4,1.09397,0.49018,1.23865,0.91096,0.94236,0.96805,0.69229,1.25787,0.40875,1.44007,5.6776e-05,5.6776e-05,5.6776e-05
22,2034.39,1.07643,0.4794,1.23189,0.94922,0.92945,0.97407,0.69721,1.26041,0.40617,1.44748,5.49148e-05,5.49148e-05,5.49148e-05
23,2126.56,1.06466,0.47196,1.2233,0.94066,0.93195,0.98237,0.69067,1.27882,0.40939,1.44135,5.30536e-05,5.30536e-05,5.30536e-05
24,2218.44,1.05863,0.46686,1.21684,0.95891,0.94195,0.97665,0.70033,1.2714,0.40328,1.44824,5.11924e-05,5.11924e-05,5.11924e-05
25,2310.48,1.05006,0.46745,1.21506,0.92472,0.95616,0.97872,0.69734,1.2751,0.40483,1.4495,4.93312e-05,4.93312e-05,4.93312e-05
26,2402.4,1.0425,0.46117,1.20627,0.95461,0.95134,0.97865,0.69718,1.26111,0.39438,1.43664,4.747e-05,4.747e-05,4.747e-05
27,2494.21,1.04043,0.45479,1.20223,0.94883,0.94351,0.97394,0.69585,1.2727,0.39858,1.45461,4.56088e-05,4.56088e-05,4.56088e-05
28,2586.04,1.02934,0.44878,1.19701,0.95546,0.94942,0.97978,0.69997,1.27106,0.3969,1.45604,4.37476e-05,4.37476e-05,4.37476e-05
29,2677.92,1.02326,0.45138,1.19903,0.94106,0.95652,0.98473,0.70271,1.26686,0.39305,1.45629,4.18864e-05,4.18864e-05,4.18864e-05
30,2770.03,1.01168,0.43919,1.20138,0.95148,0.94575,0.97891,0.70545,1.2678,0.39496,1.46119,4.00252e-05,4.00252e-05,4.00252e-05
31,2862.13,1.00153,0.43664,1.18494,0.95142,0.94159,0.97777,0.70004,1.2675,0.39446,1.46141,3.8164e-05,3.8164e-05,3.8164e-05
32,2953.97,0.99289,0.43001,1.18245,0.92711,0.95617,0.97462,0.69749,1.28165,0.39527,1.47159,3.63028e-05,3.63028e-05,3.63028e-05
33,3046,0.98636,0.43088,1.17503,0.94693,0.93897,0.97551,0.69769,1.26952,0.39552,1.47167,3.44416e-05,3.44416e-05,3.44416e-05
34,3138.02,0.97882,0.42571,1.17123,0.95293,0.94612,0.98682,0.70436,1.2735,0.39413,1.47432,3.25804e-05,3.25804e-05,3.25804e-05
35,3230.05,0.97964,0.42719,1.1684,0.95733,0.94444,0.98535,0.70086,1.27278,0.3915,1.46999,3.07192e-05,3.07192e-05,3.07192e-05
36,3322.14,0.96574,0.41621,1.16293,0.95312,0.94853,0.9852,0.7013,1.27753,0.39337,1.46997,2.8858e-05,2.8858e-05,2.8858e-05
37,3414.08,0.96546,0.42178,1.16547,0.93813,0.95734,0.98813,0.7006,1.27797,0.3904,1.4696,2.69968e-05,2.69968e-05,2.69968e-05
38,3506.05,0.95245,0.41398,1.15942,0.95685,0.94666,0.98732,0.7016,1.28077,0.39176,1.475,2.51356e-05,2.51356e-05,2.51356e-05
39,3598.06,0.9455,0.41097,1.15333,0.96445,0.9333,0.98633,0.69957,1.27913,0.39102,1.47772,2.32744e-05,2.32744e-05,2.32744e-05
40,3690.07,0.9389,0.413,1.14671,0.96096,0.93649,0.98731,0.70158,1.27703,0.38781,1.47873,2.14132e-05,2.14132e-05,2.14132e-05
41,3782.86,0.91055,0.32918,1.18246,0.95178,0.95113,0.9844,0.69832,1.2757,0.39283,1.47725,1.9552e-05,1.9552e-05,1.9552e-05
42,3874.65,0.8961,0.32284,1.18548,0.96217,0.94307,0.9873,0.69944,1.28335,0.39249,1.4957,1.76908e-05,1.76908e-05,1.76908e-05
43,3966.29,0.88246,0.31792,1.1721,0.93346,0.96154,0.97971,0.69775,1.28043,0.39081,1.49755,1.58296e-05,1.58296e-05,1.58296e-05
44,4057.91,0.87519,0.31529,1.16992,0.96189,0.94348,0.98269,0.69282,1.28084,0.39041,1.50201,1.39684e-05,1.39684e-05,1.39684e-05
45,4149.47,0.86591,0.31391,1.15628,0.94878,0.95946,0.98774,0.70176,1.28404,0.39083,1.50176,1.21072e-05,1.21072e-05,1.21072e-05
46,4241.09,0.85908,0.3118,1.15421,0.92885,0.96032,0.98153,0.69817,1.28425,0.39073,1.50642,1.0246e-05,1.0246e-05,1.0246e-05
47,4332.57,0.85556,0.30992,1.15588,0.95468,0.95188,0.98675,0.69928,1.28617,0.39009,1.50675,8.3848e-06,8.3848e-06,8.3848e-06
48,4424.16,0.84386,0.30649,1.14684,0.9432,0.95783,0.98273,0.69881,1.28714,0.38974,1.51045,6.5236e-06,6.5236e-06,6.5236e-06
49,4515.76,0.84336,0.3063,1.14773,0.93972,0.961,0.98827,0.70031,1.28555,0.38936,1.51081,4.6624e-06,4.6624e-06,4.6624e-06
50,4607.26,0.84094,0.30626,1.14304,0.95288,0.95408,0.9882,0.701,1.28527,0.38888,1.51104,2.8012e-06,2.8012e-06,2.8012e-06
