epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.2131,1.44509,2.05473,1.3832,0.9358,0.90654,0.96388,0.55775,1.50308,1.80367,1.43561,0.000659794,0.000659794,0.000659794
2,54.9025,1.44301,1.34019,1.33484,0.9076,0.85323,0.93557,0.47457,1.71079,1.10192,1.62128,0.0013002,0.0013002,0.0013002
3,78.8413,1.46071,1.13318,1.36744,0.8949,0.82587,0.88809,0.51146,1.5179,1.55627,1.40611,0.0019142,0.0019142,0.0019142
4,103.255,1.46215,0.98208,1.36469,0.93875,0.91503,0.94669,0.5235,1.5493,0.94372,1.49145,0.0018812,0.0018812,0.0018812
5,127.923,1.42807,0.90658,1.32719,0.90804,0.93284,0.95604,0.54549,1.54824,0.89079,1.45602,0.0018416,0.0018416,0.0018416
6,152.276,1.43154,0.86592,1.33166,0.94567,0.95248,0.96537,0.54909,1.56594,0.69863,1.45894,0.001802,0.001802,0.001802
7,176.242,1.39099,0.82121,1.32276,0.95504,0.92537,0.96104,0.53181,1.62572,0.71952,1.53927,0.0017624,0.0017624,0.0017624
8,201.112,1.40659,0.79746,1.32113,0.93996,0.93467,0.96246,0.56833,1.5012,0.71849,1.41097,0.0017228,0.0017228,0.0017228
9,225.932,1.39807,0.77516,1.33059,0.96459,0.94878,0.98108,0.57028,1.4449,0.65475,1.38357,0.0016832,0.0016832,0.0016832
10,250.168,1.3805,0.76298,1.31669,0.96348,0.95771,0.9824,0.59885,1.4333,0.64834,1.35842,0.0016436,0.0016436,0.0016436
11,273.922,1.36747,0.73539,1.29941,0.96207,0.94637,0.97913,0.5927,1.38127,0.64758,1.32927,0.001604,0.001604,0.001604
12,297.831,1.36691,0.72228,1.30278,0.94632,0.94279,0.96794,0.579,1.41568,0.69961,1.35185,0.0015644,0.0015644,0.0015644
13,321.818,1.34665,0.69848,1.27904,0.9628,0.9658,0.98295,0.59865,1.38266,0.63376,1.30194,0.0015248,0.0015248,0.0015248
14,346.37,1.34639,0.7075,1.27846,0.97205,0.95167,0.97645,0.58552,1.45183,0.61853,1.36971,0.0014852,0.0014852,0.0014852
15,370.007,1.34608,0.68705,1.2979,0.95625,0.97858,0.98588,0.6006,1.47865,0.565,1.39769,0.0014456,0.0014456,0.0014456
16,394.487,1.31543,0.66858,1.27103,0.97204,0.95131,0.98635,0.61478,1.44016,0.61589,1.35469,0.001406,0.001406,0.001406
17,418.876,1.32261,0.65958,1.28053,0.9613,0.95522,0.98216,0.59085,1.48178,0.58338,1.40446,0.0013664,0.0013664,0.0013664
18,442.908,1.31989,0.66408,1.28101,0.95788,0.95274,0.97126,0.60435,1.43395,0.64501,1.34806,0.0013268,0.0013268,0.0013268
19,466.412,1.30646,0.6323,1.27279,0.96289,0.9681,0.98769,0.61352,1.46224,0.54791,1.38175,0.0012872,0.0012872,0.0012872
20,491.107,1.29684,0.63732,1.26184,0.95217,0.97761,0.97828,0.60593,1.47542,0.55392,1.39737,0.0012476,0.0012476,0.0012476
21,515.229,1.30263,0.63683,1.26308,0.96032,0.96326,0.97198,0.60847,1.42669,0.57906,1.36675,0.001208,0.001208,0.001208
22,539.761,1.28199,0.61689,1.25074,0.97042,0.96269,0.98502,0.61416,1.35912,0.5774,1.30236,0.0011684,0.0011684,0.0011684
23,564.025,1.29902,0.60678,1.25661,0.95481,0.96269,0.98123,0.59791,1.41491,0.60717,1.3183,0.0011288,0.0011288,0.0011288
24,588.03,1.27438,0.60799,1.24964,0.95678,0.95771,0.98213,0.59833,1.43021,0.56137,1.35542,0.0010892,0.0010892,0.0010892
25,612.276,1.27634,0.61799,1.25359,0.9488,0.96805,0.97441,0.58677,1.47868,0.60536,1.39815,0.0010496,0.0010496,0.0010496
26,636.812,1.26828,0.60149,1.24505,0.96506,0.96184,0.98688,0.61535,1.4817,0.5282,1.36588,0.00101,0.00101,0.00101
27,660.388,1.28634,0.59811,1.24311,0.95937,0.98259,0.99188,0.58817,1.54129,0.54342,1.4187,0.0009704,0.0009704,0.0009704
28,684.819,1.26171,0.5838,1.24042,0.96568,0.97998,0.98821,0.59451,1.41998,0.56165,1.32306,0.0009308,0.0009308,0.0009308
29,709.439,1.22649,0.56427,1.22078,0.96059,0.96517,0.97802,0.60129,1.4669,0.52024,1.3728,0.0008912,0.0008912,0.0008912
30,733.263,1.27138,0.57641,1.24528,0.94701,0.9781,0.98397,0.6235,1.38531,0.5276,1.31448,0.0008516,0.0008516,0.0008516
31,757.112,1.22788,0.56759,1.22614,0.96106,0.96269,0.98311,0.61057,1.46109,0.53085,1.38408,0.000812,0.000812,0.000812
32,781.433,1.21078,0.54433,1.21117,0.97014,0.96968,0.98685,0.61037,1.41959,0.534,1.34929,0.0007724,0.0007724,0.0007724
33,806.055,1.22451,0.55869,1.21194,0.95591,0.97082,0.98349,0.6196,1.36819,0.51575,1.31223,0.0007328,0.0007328,0.0007328
34,829.878,1.20567,0.54103,1.21741,0.962,0.97761,0.98597,0.59555,1.51633,0.51928,1.45008,0.0006932,0.0006932,0.0006932
