epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.6402,1.69969,4.94992,1.47172,0.86143,0.02304,0.02648,0.01619,1.38339,3.53893,1.25483,3.10995e-05,3.10995e-05,3.10995e-05
2,68.047,1.40087,3.14982,1.27214,0.88506,0.07686,0.0889,0.05437,1.35436,2.09954,1.30827,6.11967e-05,6.11967e-05,6.11967e-05
3,99.7465,1.36532,2.12074,1.28154,0.97192,0.12584,0.16612,0.10051,1.347,1.30989,1.33744,9.0053e-05,9.0053e-05,9.0053e-05
4,131.233,1.34525,1.62939,1.28593,0.77611,0.17157,0.19957,0.1243,1.32385,1.08482,1.32472,8.84164e-05,8.84164e-05,8.84164e-05
5,162.798,1.31376,1.38675,1.26474,0.73261,0.20996,0.22463,0.14195,1.30819,0.95837,1.30417,8.65552e-05,8.65552e-05,8.65552e-05
6,194.257,1.30254,1.2693,1.26884,0.81317,0.22021,0.25443,0.16202,1.31996,0.90731,1.31967,8.4694e-05,8.4694e-05,8.4694e-05
7,225.68,1.29188,1.20523,1.25523,0.71714,0.27495,0.28747,0.18933,1.29845,0.873,1.29809,8.28328e-05,8.28328e-05,8.28328e-05
8,257.103,1.29242,1.16362,1.25542,0.75047,0.2851,0.31987,0.20783,1.29687,0.82653,1.31186,8.09716e-05,8.09716e-05,8.09716e-05
9,288.47,1.28735,1.11919,1.25168,0.73758,0.31248,0.35034,0.23094,1.30225,0.81452,1.29982,7.91104e-05,7.91104e-05,7.91104e-05
10,319.903,1.2803,1.09874,1.24764,0.62221,0.34998,0.37405,0.24942,1.301,0.80105,1.3009,7.72492e-05,7.72492e-05,7.72492e-05
11,351.322,1.27478,1.06345,1.24849,0.4957,0.42996,0.41259,0.27862,1.29056,0.75608,1.3036,7.5388e-05,7.5388e-05,7.5388e-05
12,382.731,1.27555,1.04398,1.24545,0.53269,0.41402,0.4406,0.29626,1.29503,0.74281,1.30564,7.35268e-05,7.35268e-05,7.35268e-05
13,414.177,1.2591,1.00595,1.23728,0.59629,0.41798,0.45956,0.31396,1.28267,0.74452,1.29423,7.16656e-05,7.16656e-05,7.16656e-05
14,445.516,1.257,0.99313,1.2446,0.6988,0.42451,0.47041,0.3155,1.32268,0.74087,1.31543,6.98044e-05,6.98044e-05,6.98044e-05
15,476.86,1.26385,0.98141,1.24292,0.61721,0.47669,0.5131,0.35193,1.28332,0.70337,1.29774,6.79432e-05,6.79432e-05,6.79432e-05
16,508.384,1.25058,0.95671,1.23179,0.51837,0.51987,0.53169,0.36041,1.28001,0.69526,1.29711,6.6082e-05,6.6082e-05,6.6082e-05
17,540.316,1.24846,0.9509,1.23472,0.55652,0.55236,0.57578,0.39431,1.27693,0.67174,1.29565,6.42208e-05,6.42208e-05,6.42208e-05
18,571.675,1.24627,0.93356,1.23486,0.56283,0.56275,0.5893,0.40606,1.27765,0.65667,1.2985,6.23596e-05,6.23596e-05,6.23596e-05
19,603.117,1.2461,0.92177,1.23314,0.58654,0.56728,0.60949,0.4207,1.28857,0.66483,1.30404,6.04984e-05,6.04984e-05,6.04984e-05
20,634.457,1.24276,0.90898,1.23114,0.64414,0.55754,0.63795,0.44147,1.27869,0.64624,1.28903,5.86372e-05,5.86372e-05,5.86372e-05
21,665.878,1.24114,0.90334,1.2261,0.68168,0.57021,0.64654,0.44804,1.27897,0.64197,1.30325,5.6776e-05,5.6776e-05,5.6776e-05
22,697.096,1.2383,0.88851,1.22669,0.65396,0.60666,0.66827,0.46254,1.27558,0.63124,1.29554,5.49148e-05,5.49148e-05,5.49148e-05
23,728.433,1.2274,0.86946,1.22546,0.70969,0.60914,0.69465,0.48179,1.29108,0.62385,1.31086,5.30536e-05,5.30536e-05,5.30536e-05
24,759.849,1.23128,0.86243,1.22385,0.60525,0.68362,0.71371,0.49967,1.26868,0.61716,1.29178,5.11924e-05,5.11924e-05,5.11924e-05
25,791.298,1.22669,0.86547,1.2252,0.69985,0.61138,0.71932,0.50243,1.27461,0.61697,1.29837,4.93312e-05,4.93312e-05,4.93312e-05
26,822.715,1.22832,0.85859,1.21685,0.68416,0.63288,0.70402,0.48822,1.27456,0.6091,1.29497,4.747e-05,4.747e-05,4.747e-05
27,854.073,1.22514,0.84333,1.21907,0.70638,0.66443,0.75144,0.53005,1.27532,0.6028,1.29599,4.56088e-05,4.56088e-05,4.56088e-05
28,885.607,1.22246,0.83444,1.21581,0.67362,0.70131,0.7574,0.53201,1.27537,0.59626,1.29778,4.37476e-05,4.37476e-05,4.37476e-05
29,916.846,1.21598,0.83428,1.21818,0.69745,0.70843,0.76594,0.5327,1.26865,0.59247,1.29741,4.18864e-05,4.18864e-05,4.18864e-05
30,948.424,1.21194,0.81911,1.22244,0.66925,0.73369,0.7792,0.54817,1.27196,0.5876,1.29502,4.00252e-05,4.00252e-05,4.00252e-05
31,979.698,1.21277,0.81782,1.21562,0.75539,0.69148,0.78073,0.55074,1.26733,0.58515,1.29198,3.8164e-05,3.8164e-05,3.8164e-05
32,1011.06,1.20472,0.80178,1.21342,0.70187,0.74372,0.79006,0.55844,1.26485,0.57469,1.29105,3.63028e-05,3.63028e-05,3.63028e-05
33,1042.44,1.20403,0.804,1.20554,0.71407,0.73334,0.79933,0.5656,1.27118,0.57847,1.29083,3.44416e-05,3.44416e-05,3.44416e-05
34,1073.84,1.20636,0.80064,1.21057,0.71202,0.78566,0.80724,0.57174,1.26541,0.56819,1.2941,3.25804e-05,3.25804e-05,3.25804e-05
35,1105.2,1.20955,0.79908,1.21147,0.71432,0.75869,0.81401,0.57626,1.26483,0.56884,1.29554,3.07192e-05,3.07192e-05,3.07192e-05
36,1136.43,1.20572,0.78758,1.20953,0.78164,0.73883,0.81666,0.57978,1.25891,0.56368,1.29028,2.8858e-05,2.8858e-05,2.8858e-05
37,1167.64,1.20537,0.7903,1.21592,0.70559,0.7974,0.82466,0.58511,1.26261,0.56126,1.29057,2.69968e-05,2.69968e-05,2.69968e-05
38,1198.94,1.20098,0.78367,1.2124,0.73893,0.77322,0.82909,0.59114,1.26391,0.56389,1.29323,2.51356e-05,2.51356e-05,2.51356e-05
39,1230.3,1.1995,0.77932,1.20873,0.7538,0.7551,0.83569,0.59292,1.25942,0.55759,1.29112,2.32744e-05,2.32744e-05,2.32744e-05
40,1261.7,1.19695,0.77955,1.20653,0.72075,0.79793,0.84008,0.59778,1.25845,0.5554,1.29013,2.14132e-05,2.14132e-05,2.14132e-05
41,1294.04,1.19049,0.71342,1.25796,0.70619,0.78494,0.81808,0.57981,1.26341,0.56921,1.29131,1.9552e-05,1.9552e-05,1.9552e-05
42,1325.25,1.17559,0.68039,1.25964,0.74168,0.78957,0.83509,0.59423,1.26154,0.56341,1.28823,1.76908e-05,1.76908e-05,1.76908e-05
43,1356.14,1.17447,0.6701,1.25161,0.79651,0.75797,0.8427,0.59931,1.25884,0.55538,1.29014,1.58296e-05,1.58296e-05,1.58296e-05
44,1386.87,1.17374,0.66701,1.25726,0.75743,0.79632,0.84665,0.60416,1.26241,0.55518,1.28713,1.39684e-05,1.39684e-05,1.39684e-05
45,1417.83,1.16807,0.6593,1.24894,0.76786,0.81225,0.85196,0.60827,1.256,0.55123,1.28631,1.21072e-05,1.21072e-05,1.21072e-05
46,1448.84,1.16607,0.66012,1.24513,0.82647,0.76692,0.85694,0.61147,1.25764,0.54929,1.28713,1.0246e-05,1.0246e-05,1.0246e-05
47,1479.69,1.16591,0.65559,1.25176,0.79534,0.78869,0.85927,0.61491,1.2569,0.54689,1.2857,8.3848e-06,8.3848e-06,8.3848e-06
48,1510.43,1.16465,0.65005,1.247,0.81245,0.78485,0.86325,0.61922,1.25894,0.54669,1.28501,6.5236e-06,6.5236e-06,6.5236e-06
49,1541.26,1.15991,0.6507,1.24771,0.82922,0.77451,0.86194,0.6186,1.25703,0.54503,1.28554,4.6624e-06,4.6624e-06,4.6624e-06
50,1572.04,1.15839,0.64862,1.24384,0.82756,0.77032,0.86892,0.62303,1.255,0.54456,1.2846,2.8012e-06,2.8012e-06,2.8012e-06
