epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.7787,1.49194,1.83598,1.4044,0.78754,0.83333,0.86413,0.46006,1.53156,1.02343,1.46422,0.000659794,0.000659794,0.000659794
2,70.8547,1.49662,1.00801,1.40287,0.79377,0.80427,0.83282,0.46374,1.59223,1.7175,1.58127,0.0013002,0.0013002,0.0013002
3,104.693,1.50802,0.96097,1.43151,0.84423,0.89055,0.85431,0.48133,1.55094,1.47097,1.59253,0.0019142,0.0019142,0.0019142
4,138.333,1.50251,0.93204,1.40466,0.8117,0.81095,0.85154,0.48466,1.53034,1.27155,1.43262,0.0018812,0.0018812,0.0018812
5,172.118,1.45546,0.86936,1.36288,0.93899,0.91887,0.96188,0.54413,1.58616,0.84501,1.4691,0.0018416,0.0018416,0.0018416
6,205.558,1.4611,0.85762,1.37625,0.92224,0.91465,0.94608,0.48741,1.57514,0.89067,1.48626,0.001802,0.001802,0.001802
7,238.911,1.42513,0.78222,1.35075,0.94992,0.94527,0.97047,0.55975,1.50775,0.74139,1.42068,0.0017624,0.0017624,0.0017624
8,272.147,1.4415,0.79415,1.36348,0.9315,0.92289,0.94841,0.53901,1.47634,0.80206,1.38827,0.0017228,0.0017228,0.0017228
9,305.435,1.42919,0.78703,1.36676,0.96761,0.96517,0.97387,0.5634,1.50538,0.66522,1.43553,0.0016832,0.0016832,0.0016832
10,338.669,1.39669,0.75757,1.33822,0.93459,0.92537,0.97213,0.56922,1.50647,0.7983,1.42467,0.0016436,0.0016436,0.0016436
11,372.084,1.38787,0.73295,1.31626,0.94834,0.95896,0.97893,0.58626,1.50155,0.65171,1.42723,0.001604,0.001604,0.001604
12,405.508,1.37987,0.72408,1.31866,0.9584,0.92289,0.96768,0.56637,1.42525,0.65321,1.35748,0.0015644,0.0015644,0.0015644
13,438.706,1.37324,0.6907,1.31648,0.94197,0.9602,0.98294,0.58689,1.39606,0.71298,1.32799,0.0015248,0.0015248,0.0015248
14,472.038,1.37396,0.69932,1.31236,0.96994,0.96333,0.98475,0.57748,1.48388,0.62939,1.41738,0.0014852,0.0014852,0.0014852
15,505.304,1.36762,0.69799,1.32476,0.95242,0.95771,0.97531,0.59159,1.44458,0.66597,1.37063,0.0014456,0.0014456,0.0014456
16,538.614,1.34423,0.67153,1.3061,0.97209,0.95308,0.97573,0.56999,1.41824,0.6159,1.37474,0.001406,0.001406,0.001406
17,571.888,1.33714,0.66097,1.30782,0.96483,0.95549,0.98147,0.59039,1.49439,0.61463,1.44672,0.0013664,0.0013664,0.0013664
18,605.077,1.32909,0.65011,1.29863,0.97079,0.9602,0.98022,0.58635,1.48292,0.5974,1.43137,0.0013268,0.0013268,0.0013268
19,638.237,1.32872,0.63173,1.29503,0.97714,0.96269,0.98729,0.59638,1.39429,0.59784,1.3361,0.0012872,0.0012872,0.0012872
20,671.617,1.30873,0.62243,1.28549,0.96528,0.9801,0.98694,0.60469,1.47305,0.58315,1.40236,0.0012476,0.0012476,0.0012476
21,704.871,1.30265,0.62395,1.27545,0.94909,0.97512,0.97877,0.58705,1.49156,0.56061,1.436,0.001208,0.001208,0.001208
22,738.098,1.29565,0.62301,1.27065,0.95881,0.96766,0.98541,0.60629,1.45675,0.55235,1.40823,0.0011684,0.0011684,0.0011684
23,771.433,1.30032,0.60062,1.27117,0.95024,0.95007,0.97783,0.60745,1.40553,0.5613,1.33312,0.0011288,0.0011288,0.0011288
24,804.661,1.28198,0.61002,1.27011,0.96753,0.96517,0.97868,0.61119,1.40216,0.54536,1.34774,0.0010892,0.0010892,0.0010892
25,838.128,1.28581,0.6152,1.28035,0.96014,0.95522,0.98181,0.57789,1.44552,0.57849,1.3733,0.0010496,0.0010496,0.0010496
26,871.355,1.27934,0.58564,1.27643,0.95096,0.96483,0.978,0.61006,1.46051,0.53669,1.38494,0.00101,0.00101,0.00101
27,904.595,1.28153,0.59447,1.26217,0.96896,0.97015,0.98463,0.61206,1.44482,0.54817,1.36576,0.0009704,0.0009704,0.0009704
28,937.918,1.26319,0.57625,1.25907,0.96304,0.97225,0.98426,0.61379,1.3719,0.53141,1.34403,0.0009308,0.0009308,0.0009308
29,971.268,1.22369,0.56366,1.24175,0.96247,0.95685,0.97203,0.60047,1.42101,0.51616,1.37308,0.0008912,0.0008912,0.0008912
30,1004.67,1.27413,0.56689,1.2718,0.96495,0.95889,0.98195,0.62958,1.35653,0.53738,1.32914,0.0008516,0.0008516,0.0008516
31,1038.05,1.23107,0.55968,1.24721,0.9601,0.9602,0.97944,0.6042,1.42749,0.54664,1.38662,0.000812,0.000812,0.000812
32,1071.6,1.2192,0.53947,1.23496,0.96509,0.96278,0.97949,0.61208,1.36962,0.51737,1.33615,0.0007724,0.0007724,0.0007724
