epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.5015,1.78374,3.80496,1.62404,0.7833,0.10462,0.11767,0.06994,1.39789,1.67437,1.43382,3.10995e-05,3.10995e-05,3.10995e-05
2,101.425,1.36364,1.56728,1.33787,0.84092,0.18452,0.2162,0.12963,1.34904,0.98034,1.40924,6.11967e-05,6.11967e-05,6.11967e-05
3,148.606,1.31362,1.16197,1.29525,0.79479,0.26719,0.31366,0.19956,1.31479,0.81189,1.38135,9.0053e-05,9.0053e-05,9.0053e-05
4,195.514,1.29989,1.0308,1.29204,0.71755,0.36632,0.43813,0.28566,1.30293,0.72954,1.37372,8.84164e-05,8.84164e-05,8.84164e-05
5,242.385,1.27416,0.91652,1.26935,0.54547,0.49577,0.50824,0.33896,1.29006,0.66827,1.36266,8.65552e-05,8.65552e-05,8.65552e-05
6,289.184,1.26211,0.8498,1.27107,0.57004,0.55374,0.59918,0.40282,1.29438,0.62652,1.3636,8.4694e-05,8.4694e-05,8.4694e-05
7,335.95,1.2539,0.80373,1.26405,0.58381,0.6898,0.69521,0.47319,1.28919,0.58254,1.35808,8.28328e-05,8.28328e-05,8.28328e-05
8,382.748,1.2516,0.77028,1.26469,0.70784,0.65672,0.74431,0.50759,1.30481,0.56558,1.37778,8.09716e-05,8.09716e-05,8.09716e-05
9,429.418,1.24533,0.74208,1.25748,0.70609,0.77806,0.82102,0.572,1.28311,0.5377,1.35838,7.91104e-05,7.91104e-05,7.91104e-05
10,476.349,1.23856,0.72224,1.25559,0.7433,0.77329,0.8434,0.58798,1.26866,0.52331,1.34923,7.72492e-05,7.72492e-05,7.72492e-05
11,523.095,1.22884,0.69764,1.25681,0.81377,0.80552,0.86097,0.59344,1.30169,0.52037,1.37653,7.5388e-05,7.5388e-05,7.5388e-05
12,569.861,1.22767,0.68492,1.24831,0.82361,0.80849,0.88443,0.61884,1.2683,0.50006,1.34772,7.35268e-05,7.35268e-05,7.35268e-05
